NWR,FLI (Day),FBI (Day),FLI (%),FBI (%),FLIDELTA,FBIDELTA,FLI_102030_avg_rate,FBI_102030_avg_rate,"FLI SD, AVG"
AGASSIZ NATIONAL WILDLIFE REFUGE  ,113.7741,142.5067,3.951037,16.31095,8.706546,15.09263,-0.780392705,-0.486343654,9.800612
ALAMOSA NATIONAL WILDLIFE REFUGE  ,112.0411,148.7729,2.482547,4.817516,3.096256,5.591297,-0.783588627,-0.588617148,7.591278
ALASKA MARITIME NATIONAL WILDLIFE REFUGE  ,142.4884,182.4345,11.94028,28.58926,6.8663,14.23221,-0.83800808,-0.892789918,8.330082
ALASKA PENINSULA NATIONAL WILDLIFE REFUGE  ,139.7753,179.5496,12.06144,14.97406,6.93183,15.66969,-0.648868134,-0.524028402,7.603957
ALLIGATOR RIVER NATIONAL WILDLIFE REFUGE  ,41.12832,76.82209,53.77631,22.50837,29.64089,42.01661,0.057546058,-0.365729358,9.315457
AMAGANSETT NATIONAL WILDLIFE REFUGE  ,89.72988,123.6303,5.649197,1.083654,12.38741,0.2339455,-0.900705232,-0.878530742,9.499189
ANAHO ISLAND NATIONAL WILDLIFE REFUGE  ,85.04359,127.4352,15.74705,51.72334,20.65739,56.91894,-0.801402009,0.030276099,8.580413
ANAHUAC NATIONAL WILDLIFE REFUGE  ,20.81852,43.1463,23.67021,44.40243,34.25314,32.0284,-0.210717671,-0.090347381,4.744368
ANKENY NATIONAL WILDLIFE REFUGE  ,56.90286,108.3785,7.265265,22.33865,7.299099,26.75167,-1.500802345,-0.722239863,11.33825
ANTIOCH DUNES NATIONAL WILDLIFE REFUGE  ,32.21236,66.0817,2.054528,16.09377,2.808226,11.99637,-0.682296641,-0.807316274,3.216891
ARANSAS NATIONAL WILDLIFE REFUGE  ,19.7212,40.5317,9.509297,20.87398,13.38344,30.44159,-0.339524076,-0.298250494,4.141634
ARAPAHO NATIONAL WILDLIFE REFUGE  ,126.3122,162.6195,12.11427,13.77256,5.415209,25.7457,-0.348231425,-0.309386756,9.18669
ARCHIE CARR NATIONAL WILDLIFE REFUGE  ,14.85653,30.21198,52.04922,44.86856,24.08393,28.16704,0.029009223,-0.027281466,4.075085
ARCTIC NATIONAL WILDLIFE REFUGE  ,153.9596,182.1379,2.054528,3.023362,2.808226,1.922711,-0.745307081,-0.849261428,4.936451
ARDOCH NATIONAL WILDLIFE REFUGE  ,112.6897,140.6038,2.875769,15.67208,5.480739,11.73727,-0.737246431,-0.521501915,9.793727
AROOSTOOK NATIONAL WILDLIFE REFUGE  ,123.5606,151.9699,3.094998,11.49674,3.64955,18.02047,-0.671656888,-0.500131583,5.022434
ARROWWOOD NATIONAL WILDLIFE REFUGE  ,110.5797,139.1515,1.083654,14.86049,0.2339455,17.50227,-0.721310872,-0.477719305,9.164547
ARTHUR R. MARSHALL LOXAHATCHEE NATIONAL WILDLIFE REFUGE  ,14.5537,29.57778,58.43963,45.10582,19.53445,31.54755,0.014268761,-0.012224909,3.441458
ASH MEADOWS NATIONAL WILDLIFE REFUGE  ,40.25241,74.78968,3.50499,15.98938,4.749974,13.89636,-1.049432261,-0.955620495,6.567011
ASSABET RIVER NATIONAL WILDLIFE REFUGE  ,103.1259,131.2611,2.054528,1.083654,2.808226,0.2339455,-0.711535254,-0.730895812,7.064349
