,FLI (10 Year),FLI (20 Year),FLI (30 Year),FBI (10 Year),FBI (20 Year),FBI (30 Year),FLI10 (%),FLI20 (%),FLI30 (%),FBI10 (%),FBI20 (%),FBI30 (%)
AGASSIZ NATIONAL WILDLIFE REFUGE  ,111.1928,115.3227,114.8067,142.2435,143.2013,142.0754,0.9708738,9.677419,1.204819,14.56311,24.73118,9.638554
ALAMOSA NATIONAL WILDLIFE REFUGE  ,111.1178,112.3436,112.6618,148.3582,148.8115,149.1489,1.941748,4.301075,1.204819,6.796117,6.451613,1.204819
ALASKA MARITIME NATIONAL WILDLIFE REFUGE  ,142.3417,142.1134,143.0102,182.3404,181.959,183.004,16.50485,9.677419,9.638554,19.10112,33.33333,33.33333
ALASKA PENINSULA NATIONAL WILDLIFE REFUGE  ,139.346,139.2958,140.684,179.8815,178.7761,179.9911,15.53398,8.602151,12.04819,24.27184,8.602151,12.04819
ALLIGATOR RIVER NATIONAL WILDLIFE REFUGE  ,42.93996,40.32772,40.11728,78.50217,76.10433,75.85978,66.99029,56.98925,37.3494,45.63107,18.27957,3.614458
AMAGANSETT NATIONAL WILDLIFE REFUGE  ,90.15888,89.57545,89.45531,123.0006,123.5235,124.3667,13.59223,2.150538,1.204819,0.9708738,1.075269,1.204819
ANAHO ISLAND NATIONAL WILDLIFE REFUGE  ,86.05611,84.92149,84.15316,128.9239,127.8277,125.5541,24.27184,19.35484,3.614458,73.78641,64.51613,16.86747
ANAHUAC NATIONAL WILDLIFE REFUGE  ,20.63333,20.16667,21.65556,43.66667,42.38333,43.38889,28.15534,4.301075,38.55422,62.13592,30.10753,40.96386
ANKENY NATIONAL WILDLIFE REFUGE  ,56.34868,57.21108,57.14881,109.643,108.9366,106.556,9.708738,9.677419,2.409639,33.98058,25.80645,7.228916
ANTIOCH DUNES NATIONAL WILDLIFE REFUGE  ,31.87966,32.16649,32.59092,66.19595,66.31259,65.73655,3.883495,1.075269,1.204819,19.41748,20.43011,8.433735
ARANSAS NATIONAL WILDLIFE REFUGE  ,19.46589,19.04047,20.65723,40.89767,39.6775,41.01993,15.53398,2.150538,10.84337,36.8932,6.451613,19.27711
ARAPAHO NATIONAL WILDLIFE REFUGE  ,125.6274,126.72,126.5893,162.6212,162.6499,162.5874,11.65049,15.05376,9.638554,28.15534,10.75269,2.409639
ARCHIE CARR NATIONAL WILDLIFE REFUGE  ,15.2,14.64036,14.72924,30.7035,29.83947,30.09296,66.01942,41.93548,48.19277,63.1068,36.55914,34.93976
ARCTIC NATIONAL WILDLIFE REFUGE  ,153.4179,153.8551,154.6058,181.3953,182.3363,182.6821,3.883495,1.075269,1.204819,3.883495,3.225806,1.960784
ARDOCH NATIONAL WILDLIFE REFUGE  ,109.9714,114.2101,113.8875,140.2089,141.1691,140.4335,0.9708738,6.451613,1.204819,13.59223,22.58065,10.84337
AROOSTOOK NATIONAL WILDLIFE REFUGE  ,122.7367,124.1648,123.7802,151.7529,152.2755,151.8812,4.854369,3.225806,1.204819,11.65049,20.43011,2.409639
ARROWWOOD NATIONAL WILDLIFE REFUGE  ,107.7312,112.255,111.753,138.5246,139.8778,139.0522,0.9708738,1.075269,1.204819,12.62136,24.73118,7.228916
ARTHUR R. MARSHALL LOXAHATCHEE NATIONAL WILDLIFE REFUGE  ,14.8,14.41667,14.44444,30.06667,29.3,29.36667,68.93204,56.98925,49.39759,64.07767,38.70968,32.53012
ASH MEADOWS NATIONAL WILDLIFE REFUGE  ,39.33835,39.91027,41.50861,75.28859,74.48964,74.5908,5.825243,1.075269,3.614458,22.3301,17.2043,8.433735
ASSABET RIVER NATIONAL WILDLIFE REFUGE  ,102.6667,103.3,103.4111,130.2,131.2167,132.3667,3.883495,1.075269,1.204819,0.9708738,1.075269,1.204819
ATCHAFALAYA NATIONAL WILDLIFE REFUGE  ,27.17649,26.02428,27.3015,54.3466,52.60933,53.07862,63.1068,45.16129,53.01205,69.90291,58.06452,53.01205
ATTWATER PRAIRIE CHICKEN NATIONAL WILDLIFE REFUGE  ,24.25453,23.35311,24.97688,48.2767,47.16354,48.10536,42.71845,4.301075,44.57831,51.45631,30.10753,39.75904
AUDUBON NATIONAL WILDLIFE REFUGE  ,107.1986,111.2873,110.5306,138.7254,140.0614,139.2752,0.9708738,7.526882,1.204819,12.62136,24.73118,8.433735
BACA NATIONAL WILDLIFE REFUGE  ,113.6076,114.8876,115.2493,150.6411,151.1171,151.5259,3.883495,4.301075,1.204819,6.796117,6.451613,1.204819
BACK BAY NATIONAL WILDLIFE REFUGE  ,48.78153,46.01371,45.77566,85.50829,84.14483,84.14821,60.19417,32.25806,24.09639,41.74757,10.75269,1.204819
BAKER ISLAND NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN 
BALCONES CANYONLANDS NATIONAL WILDLIFE REFUGE  ,29.19138,28.38376,29.41854,57.22919,56.10094,56.44711,36.8932,6.451613,21.68675,40.7767,17.2043,8.433735
BALD KNOB NATIONAL WILDLIFE REFUGE  ,51.53878,50.60379,50.29292,82.88978,84.17763,83.62307,55.33981,40.86022,28.91566,4.854369,15.05376,1.204819
BAMFORTH NATIONAL WILDLIFE REFUGE  ,113.991,115.5643,115.3919,150.9307,151.596,151.092,4.854369,8.602151,2.409639,15.53398,12.90323,1.204819
BANDON MARSH NATIONAL WILDLIFE REFUGE  ,30.59434,31.58967,31.88068,72.75557,73.46479,72.77779,0.9708738,2.150538,1.204819,16.50485,20.43011,8.433735
BANKS LAKE NATIONAL WILDLIFE REFUGE  ,28.81776,27.99629,28.04369,57.29099,54.56162,54.13163,76.69903,63.44086,59.03614,86.40777,64.51613,61.44578
BASKETT SLOUGH NATIONAL WILDLIFE REFUGE  ,50.66764,51.52113,52.22611,105.4089,104.665,102.3837,7.76699,5.376344,1.204819,28.15534,22.58065,7.228916
BAYOU COCODRIE NATIONAL WILDLIFE REFUGE  ,31.43333,29.98333,31.02222,60.06667,57.71667,57.96667,76.69903,62.36559,66.26506,72.81553,63.44086,56.62651
BAYOU SAUVAGE NATIONAL WILDLIFE REFUGE  ,24.03019,23.59652,24.57731,49.31736,48.18903,48.58618,59.2233,47.31183,48.19277,66.99029,55.91398,53.01205
BAYOU TECHE NATIONAL WILDLIFE REFUGE  ,20.00603,19.99736,21.53537,43.0139,42.20301,43.32112,25.24272,19.35484,44.57831,63.1068,46.23656,50.60241
BEAR BUTTE NATIONAL WILDLIFE REFUGE  ,98.26667,100.15,100.6667,135.8,137.5333,136.7778,1.941748,3.225806,1.204819,19.41748,41.93548,21.68675
BEAR LAKE NATIONAL WILDLIFE REFUGE  ,119.5126,120.4236,119.3313,156.0484,155.3955,154.1654,33.00971,49.46237,12.04819,88.34951,88.17204,75.90361
BEAR RIVER MIGRATORY BIRD REFUGE  ,99.16489,98.22104,97.83791,134.5832,134.4804,132.9083,26.21359,19.35484,8.433735,72.81553,63.44086,33.73494
BEAR VALLEY NATIONAL WILDLIFE REFUGE  ,100.7424,97.9816,96.45387,143.9095,142.4914,140.3682,65.04854,23.65591,9.638554,100,98.92473,72.28916
BECHAROF NATIONAL WILDLIFE REFUGE  ,133.7586,133.2684,134.6951,169.1071,168.2451,169.6018,18.4466,6.451613,9.638554,17.47573,8.602151,8.433735
BENTON LAKE NATIONAL WILDLIFE REFUGE  ,102.4754,104.2857,102.9332,142.919,142.8563,141.5004,9.708738,22.58065,6.024096,52.42718,46.23656,18.07229
BIG BOGGY NATIONAL WILDLIFE REFUGE  ,17.18725,17.00199,18.57752,36.95765,35.91987,37.53225,18.4466,1.075269,37.3494,43.68932,4.301075,37.3494
BIG BRANCH MARSH NATIONAL WILDLIFE REFUGE  ,25.83214,25.07133,25.9649,52.40592,50.93545,51.12812,63.1068,49.46237,53.01205,72.81553,60.21505,53.01205
BIG LAKE NATIONAL WILDLIFE REFUGE  ,54.83315,53.79709,53.6719,85.67655,87.11774,86.68253,51.45631,37.63441,33.73494,2.912621,10.75269,1.204819
BIG MUDDY NATIONAL FISH AND WILDLIFE REFUGE  ,74.80338,74.90536,74.38112,102.0651,104.5947,105.1002,19.41748,13.97849,1.204819,0.9708738,1.075269,1.204819
